"lfc.LB"	"lfc.high_pCA"	"lfc.low_pCA"	"lfc.glucose"	"lfc.acetate"
"fucD"	0	0	0	0.14982	0
"potF-II"	0	0	0	0.15163	-0.008465
"yefM"	0.0059269	-0.013234	0	0.15153	0
"iorA-II"	0	-0.0085209	0	0.15203	0
"PP_3756"	0	-0.0089051	0	0.15127	0
"rlmI"	0	-0.013054	0	0.15063	0
"aruH"	0	-0.010932	0	0.14182	0
"PP_3193"	0	-0.011447	0	0.13986	0
"PP_1404"	0	-0.013769	0	0.14174	0
"PP_5713"	0	-0.016594	0	0.14701	0
"PP_3893"	0	-0.015774	0	0.14575	0
"nudC"	0	-0.018109	0	0.14361	0
"PP_4494"	0	-0.0181	0	0.14136	0
"pepP"	0	-0.021674	0	0.14502	0
"PP_5505"	0	0	0	0.14915	0
"PP_2243"	0	0	0	0.14912	0
"PP_2222"	0	0	0	0.1491	0
"pcaP"	0	0	0	0.14909	0
"pvdN"	0	0	0	0.14896	0
"PP_1958"	0	0	0	0.14889	0
"PP_0661"	0	0	0	0.14872	0
"PP_4411"	0	0	0	0.14826	0
"phoR"	0	0	0	0.14782	0
"PP_2270"	0	0	0	0.14776	0
"PP_4690"	0	0	0	0.14711	0
"PP_0748"	0	0	0	0.14701	0
"PP_1456"	0	0	0	0.14698	0
"PP_4950"	0	0	0	0.14685	0
"PP_4030"	0	0	0	0.14679	0
"ybaB"	0	0	0	0.14671	0
"PP_3651"	0	0	0	0.14671	0
"PP_4154"	0	0	0	0.14662	0
"PP_5716"	0	0	0	0.14643	0
"PP_1521"	0	0	0	0.14622	0
"PP_4307"	0	0	0	0.14603	0
"PP_2486"	0	0	0	0.14587	0
"PP_5362"	0	0	0	0.14583	0
"PP_3419"	0	0	0	0.14529	0
"argT"	0	0	0	0.14524	0
"PP_2042"	0	0	0	0.14476	0
"PP_5547"	0	0	0	0.14448	0
"PP_0318"	0	0	0	0.14431	0
"ygdQ"	0	0	0	0.14409	0
"PP_1476"	0	0	0	0.14405	0
"PP_2442"	0	0	0	0.144	0
"PP_1689"	0	0	0	0.14397	0
"selU"	0	0	0	0.14394	0
"PP_3733"	0	0	0	0.14392	0
"dps"	0	0	0	0.1439	0
"dctA-II"	0	0	0	0.14377	0
"PP_2213"	0	0	0	0.14329	0
"PP_2912"	0	0	0	0.1429	0
"PP_5361"	0	0	0	0.14287	0
"pvdE"	0	0	0	0.14285	0
"pth"	0	0	0	0.14225	0
"PP_5359"	0	0	0	0.14218	0
"PP_2525"	0	0	0	0.14205	0
"PP_2105"	0	0	0	0.14202	0
"mexT"	0	0	0	0.14201	0
"PP_0314"	0	0	0	0.14185	0
"PP_2069"	0	0	0	0.1417	0
"PP_4263"	0	0	0	0.14158	0
"PP_2702"	0	0	0	0.14142	0
"PP_5526"	0	0	0	0.14139	0
"PP_0777"	0	0	0	0.1413	0
"ccoO-I"	0	0	0	0.14114	0
"PP_3875"	0	0	0	0.14079	0
"PP_2215"	0	0	0	0.14073	0
"PP_0703"	0	0	0	0.14072	0
"PP_2365"	0	0	0	0.14054	0
"ddlA"	0	0	0	0.14046	0
"PP_3484"	0	0	0	0.14001	0
"PP_2892"	0	0	0	0.13981	0
"PP_5603"	0	0	0	0.1398	0
"PP_2557"	0	0	0	0.13961	0
"PP_2740"	0	0	0	0.13958	0
"PP_0867"	0	0	0	0.13942	0
"PP_2780"	0	0	0	0.13929	0
"PP_mr43"	0	0	0	0.13913	0
"PP_3179"	0	0	0	0.13912	0
"PP_2532"	0	0	0	0.13897	0
"PP_2361"	0	0	0	0.13882	0
"PP_2285"	0	0	0	0.13875	0
"PP_1192"	0	0	0	0.13871	0
"recR"	0	0	0	0.13864	0
"tam"	0	0	0	0.13826	0
"PP_0136"	0	0	0	0.13818	0
"mltB"	0	0	0	0.13794	0
"PP_2272"	0	-0.0041359	0	0.13756	0
"PP_0708"	0	0	0	0.13769	0
"PP_4497"	0	0	0	0.13752	0
"rsuA"	0	0	0	0.13731	0
"PP_0658"	0	0	0	0.13717	0
"PP_1758"	0	0	0	0.13717	0
"PP_5176"	0	0	0	0.13709	0
"PP_2530"	0	0	0	0.13704	0
"PP_2807"	0	0	0	0.1369	0
"PP_0036"	0	0	0	0.13684	0
"PP_1165"	0	0	0	0.1367	0
"PP_1695"	0	0	0	0.1366	0
"PP_0607"	0	0	0	0.1365	0
"trmK"	0	0	0	0.13626	0
"glcD"	0	0	0	0.13612	0
"PP_5449"	0	0	0	0.1361	0
"PP_3367"	0	0	0	0.13599	0
"ssuB"	0	0	0	0.13599	0
"PP_0198"	0	0	0	0.13586	0
"PP_4071"	0	0	0	0.1358	0
"PP_4040"	0	0	0	0.13579	0
"PP_5456"	0	0	0	0.13563	0
"tag"	0	0	0	0.1355	0
"PP_5212"	0	0	0	0.13547	0
"PP_3898"	0	0	0	0.13541	0
"PP_0990"	0	0	0	0.13508	0
"PP_3290"	0	0	0	0.13506	0
"PP_3232"	0	0	0	0.13502	0
"PP_3045"	0	0	0	0.13458	0
"PP_0423"	0	0	0	0.13452	0
"PP_2036"	0	0	0	0.13447	0
"PP_0152"	0	0	0	0.13446	0
"PP_3911"	0	0	0	0.13444	0
"xdhC"	0	0	0	0.13444	0
"PP_5188"	0	0	0	0.13435	0
"PP_0354"	0	0	0	0.13401	0
"yhiI"	0	0	0	0.13372	0
"PP_1976"	0	0	0	0.13363	0
"PP_4063"	0	-0.0021946	-0.014761	0.13563	0
"PP_1583"	0	0	-0.022445	0.14068	0
"PP_5652"	0.030176	0	0	0.13054	0
"sdaC"	0.018687	0	0	0.13756	0
"PP_3243"	0.020231	0	0	0.11765	0
"PP_2935"	0	0	0	0.1331	0
"PP_1417"	0	0	0	0.13299	0
"PP_2854"	0	0	0	0.13291	0
"PP_0093"	0	0	0	0.13289	0
"PP_4068"	0	0	0	0.13267	0
"fklB-II"	0	0	0	0.13265	0
"ppc"	0	0	0	0.13252	0
"PP_5276"	0	0	0	0.1325	0
"PP_5664"	0	0	0	0.13234	0
"PP_1195"	0	0	0	0.13228	0
"PP_0210"	0	0	0	0.13222	0
"PP_5377"	0	0	0	0.13203	0
"PP_5622"	0	0	0	0.13196	0
"mmsA-II"	0	0	0	0.13184	0
"PP_4769"	0	0	0	0.13167	0
"bcsB"	0	0	0	0.13161	0
"PP_2745"	0	0	0	0.1314	0
"PP_4849"	0	0	0	0.13126	0
"PP_5175"	0	0	0	0.13126	0
"PP_2758"	0	0	0	0.13112	0
"fatD"	0	0	0	0.13111	0
"PP_4872"	0	0	0	0.1311	0
"PP_2475"	0	-0.0028614	0	0.13179	0
"PP_2333"	0	0	0	0.13035	0
"PP_3371"	0	0	0	0.12994	0
"PP_3394"	0	0	0	0.12991	0
"PP_2859"	0	0	0	0.12976	0
"mtgA"	0	0	0	0.12972	0
"PP_0678"	0	0	0	0.12934	0
"PP_1563"	0	0	0	0.12874	0
"PP_5002"	0	0	0	0.12867	0
"PP_2103"	0	0	0	0.12865	0
"kgtP"	0	0	0	0.12816	0
"alg8"	0	0	0	0.1279	0
"PP_3925"	0	0	0	0.12778	0
"kinB"	0	0	0	0.12777	0
"PP_0190"	0	0	0	0.12777	0
"PP_5252"	0	0	0	0.12757	0
"PP_3299"	0	0	0	0.12756	0
"PP_0426"	0	0	0	0.12756	0
"PP_4231"	0	0	0	0.12721	0
"PP_2867"	0	0	0	0.12718	0
"PP_1167"	0	0	0	0.12703	0
"aldA"	0	0	0	0.12703	0
"PP_2207"	0	0	0	0.12683	0
"PP_3361"	0	0	0	0.12678	0
"PP_5606"	0	0	0	0.12668	0
"PP_4178"	0	0	0	0.12662	0
"PP_3133"	0	0	0	0.12655	0
"PP_2279"	0	0	0	0.12618	0
"nicF"	0	0	0	0.1259	0
"iorA-I"	0	0	0	0.12579	0
"PP_3534"	0	0	0	0.12524	0
"PP_0590"	0	0	0	0.12496	0
"PP_2790"	0	0	0	0.12493	0
"PP_3135"	0	0	0	0.12483	0
"PP_4511"	0	0	0	0.12478	0
"clsB"	0	0	0	0.12472	0
"PP_5251"	0	0	0	0.12469	0
"PP_2574"	0	0	0	0.12464	0
"PP_2589"	0	0	0	0.12458	0
"PP_3387"	0	0	0	0.1245	0
"PP_2345"	0	0	0	0.12446	0
"PP_2562"	0	0	0	0.1243	0
"PP_2550"	0	0	0	0.12416	0
"PP_2835"	0	0	0	0.12371	0
"PP_2362"	0	0	0	0.12337	0
"PP_3917"	0	0	0	0.12315	0
"PP_2415"	0	0	0	0.12308	0
"PP_1517"	0	0	0	0.12296	0
"gsiA"	0	0	0	0.1229	0
"dapA-II"	0	0	0	0.12288	0
"PP_3289"	0	0	0	0.12285	0
"yhaV"	0	0	0	0.1227	0
"PP_4234"	0	0	0	0.12248	0
"PP_5470"	0	0	0	0.12237	0
"PP_0080"	0	0	0	0.12211	0
"PP_3542"	0	0	0	0.12195	0
"PP_0049"	0	0	0	0.12185	0
"PP_4272"	0	0	0	0.12184	0
"PP_2779"	0	0	0	0.12165	0
"PP_4069"	0	0	0	0.12157	0
"minC"	0	0	0	0.12153	0
"PP_4259"	0	0	0	0.12146	0
"PP_2747"	0	0	-0.003897	0.12431	0
"PP_3258"	0	0	0	0.1238	-0.0085651
"PP_0890"	0	-0.0099076	0	0.13464	0
"PP_2605"	0	-0.011297	-0.0036358	0.13235	0
"yhjG"	0	-0.010594	0	0.13059	0
"acsA-II"	0	-0.012048	0	0.12794	0
"dppA-II"	0	-0.018934	0	0.12926	0
"PP_3574"	0	-0.019248	0	0.12936	0
"PP_2287"	0	0	0	0.12101	0
"eco"	0	0	0	0.12078	0
"PP_3296"	0	0	0	0.12048	0
"PP_1948"	0	0	0	0.12036	0
"PP_4079"	0	0	0	0.12026	0
"PP_3139"	0	0	0	0.12013	0
"PP_4513"	0	0	0	0.11989	0
"PP_3974"	0	0	0	0.11985	0
"PP_4638"	0	0	0	0.11984	0
"gspN"	0	0	0	0.11976	0
"PP_1194"	0	0	0	0.11946	0
"PP_1119"	0	0	0	0.11932	0
"PP_2266"	0	0	0	0.11919	0
"PP_0928"	0	0	0	0.1191	0
"PP_0610"	0	0	0	0.11901	0
"PP_4852"	0	0	0	0.11871	0
"PP_3551"	0	0	0	0.11859	0
"potF-I"	0	0	0	0.11846	0
"frmC"	0	0	0	0.11817	0
"PP_4208"	0	0	0	0.11811	0
"PP_2542"	0	0	0	0.11809	0
"PP_0862"	0	0	0	0.11798	0
"PP_3580"	0	0	0	0.11797	0
"PP_2869"	0	0	0	0.11788	0
"paaY"	0	0	0	0.11788	0
"PP_3042"	0	0	0	0.1178	0
"czcR-I"	0	0	0	0.11775	0
"PP_1703"	0	0	0	0.11741	0
"PP_5138"	0	0	0	0.11733	0
"PP_3256"	0	0	0	0.1171	0
"PP_0148"	0	0	0	0.11697	0
"rlmG"	0	0	0	0.11684	0
"PP_1579"	0	0	0	0.11682	0
"PP_3084"	0	0	-0.00072682	0.11744	0
"PP_0788"	0	0	0	0.11642	0
"PP_3368"	0	0	0	0.11622	0
"PP_4277"	0	0	0	0.11576	0
"PP_2430"	0	0	0	0.11552	0
"rffE"	0	0	0	0.11533	0
"nicB"	0	0	0	0.11507	0
"hmgC"	0	0	0	0.11493	0
"PP_3049"	0	0	0	0.11487	0
"PP_5367"	0	0	0	0.11466	0
"PP_2992"	0	0	0	0.11464	0
"PP_3038"	0	0	0	0.11446	0
"gabD-II"	0	0	0	0.11444	0
"PP_2186"	0	0	0	0.1143	0
"hmuV"	0	0	0	0.11412	0
"dadA-II"	0	0	0	0.11408	0
"PP_2704"	0	0	0	0.11393	0
"PP_0692"	0	0	0	0.11387	0
"kefB-III"	0	0	0	0.11386	0
"yehX"	0	0	0	0.11375	0
"PP_1105"	0	0	0	0.11372	0
"ghrB"	0	0	0	0.11345	0
"gpV"	0	0	0	0.11332	0
"PP_2606"	0	0	0	0.11323	0
"PP_0081"	0	-0.0023485	0	0.11503	0
"PP_2286"	0	0	-0.0060528	0.1134	0
"PP_3871"	0	0	-0.012411	0.12032	0
"PP_2864"	0	0	-0.013328	0.11468	0
"PP_5202"	0	0	-0.034831	0.1348	0
"PP_2690"	0	0	-0.029543	0.1289	0
"PP_4652"	0	0	-0.044976	0.12891	0
"PP_1510"	0	0	-0.031018	0.12094	0
"iciA"	0	0	-0.031363	0.11357	0
"yghU"	0	0	-0.036456	0.11484	0
"PP_1448"	-0.04727	0.023333	0	0.17134	0
"PP_1956"	-0.058592	0	0	0.15155	0
"PP_0182"	-0.038134	0	0	0.15344	0
"ndh"	-0.029466	0	0	0.13529	0
"PP_2079"	-0.043854	0	0	0.12569	0
"glgP"	-0.03439	0	-0.0080765	0.11573	0
"davB"	-0.039697	0	0	0.11091	0
"PP_4249"	0	-0.046133	0	0.21161	0
"flgG"	0	-0.040133	0	0.19537	0
"PP_5073"	0	-0.04496	0	0.19792	0
"PP_4284"	0	-0.052075	0	0.19577	0
"PP_5447"	0	-0.061845	0	0.20134	-0.0023185
"dppC"	0	-0.078212	0	0.20419	0
"PP_0153"	0	-0.091644	0	0.18888	0
"PP_3318"	0	-0.022337	0	0.16577	0
"PP_2880"	0	-0.020776	0	0.16097	0
"mrdA-I"	0	-0.032169	0	0.16799	0
"PP_2980"	0	-0.027584	0	0.16314	0
"PP_5525"	0	-0.02673	0	0.15405	0
"PP_4573"	0	-0.033731	0	0.1464	0
"PP_5113"	0	-0.040369	0	0.17759	0
"PP_2118"	0	-0.040903	0	0.16815	0
"gllR"	0	-0.051565	0	0.18326	0
"flhA"	0	-0.058362	0	0.17952	-0.0029951
"PP_5007"	0	-0.057137	0	0.17347	0
"dedD"	0	-0.037244	-0.02055	0.17992	0
"lexA-I"	0	-0.049457	0	0.15056	0
"PP_4618"	0	-0.060438	0	0.16107	0
"dppD"	0	-0.072395	0	0.15798	0
"PP_4379"	0	-0.080287	0	0.15647	-0.00088806
"ligD"	0	-0.066431	0	0.14803	0
"PP_3273"	0	-0.073003	0	0.14103	0
"cobA"	0	-0.077416	0	0.14732	-0.0093219
"aat"	0	0	0	0.18115	-0.027681
"dppA-III"	0	0	0	0.17473	-0.018505
"PP_3455"	0	0	0	0.17354	-0.018209
"paaD"	0	0	0	0.16858	-0.027178
"mccA"	0	-0.0058179	0	0.18044	-0.040553
"PP_2750"	0	0	0	0.18758	-0.056831
"cycH"	0	0	0	0.17264	-0.054585
"PP_3493"	0	0	0	0.1772	-0.067109
"PP_2133"	0	0	0	0.15532	-0.042918
"PP_3199"	0	0	0	0.14508	-0.043929
"cpxR"	0	0	0	0.14787	-0.051228
"gqr"	0	-0.0037975	0	0.13975	-0.03646
"PP_5444"	0	0	0	0.13758	-0.049245
"PP_0188"	0	0	0	0.13733	-0.058059
"tcdA"	0	0	-0.047331	0.17165	-0.046173
"PP_2354"	0	0	-0.028128	0.1447	-0.060192
"mnaT"	0	-0.043167	0	0.14362	-0.058643
"PP_0408"	0	-0.068052	-0.029362	0.14675	-0.050262
"PP_4835"	0	-0.025563	0	0.1298	0
"PP_2638"	0	-0.030879	0	0.13266	0
"cobM"	0	-0.03492	0	0.12977	-0.0049042
"rnd"	0	-0.041801	0	0.13689	0
"hexR"	0.0076471	-0.032668	0	0.11713	0
"PP_4247"	0	-0.033533	0	0.12194	0
"elaA"	0	-0.032771	0	0.11823	0
"PP_3888"	0	-0.035677	0	0.11216	0
"PP_3018"	0	-0.040093	0	0.12526	0
"PP_0669"	0	-0.041608	0	0.12441	0
"PP_1256"	0	-0.041241	0	0.12461	-0.00091609
"PP_3140"	0	-0.043566	0	0.123	0
"ribAB-I"	0	-0.042825	0	0.11772	0
"PP_0107"	0	-0.020185	0	0.11321	0
"uacT"	0	-0.028212	0	0.11472	0
"PP_4551"	0	-0.027191	0	0.11237	0
"PP_3492"	0	-0.022774	0	0.10486	0
"PP_5253"	0	-0.025249	0	0.10099	0
"PP_1878"	0	-0.036233	0	0.10708	0
"PP_2598"	0	-0.036979	0	0.1045	0
"PP_0863"	0	-0.042536	0	0.1059	0
"PP_5263"	0	-0.038454	0	0.10121	0
"msuE"	0	-0.048821	0	0.1099	0
"hslO"	0	-0.051758	0	0.098971	0
"PP_1680"	-0.027944	-0.039068	0	0.10175	-0.0069371
"PP_3854"	0	-0.058519	0	0.12497	0
"mvaB"	0	-0.070299	0	0.11263	0
"PP_1523"	0	-0.056624	-0.020246	0.11394	0
"fliK"	0	-0.084687	0	0.13099	0
"ppiC-I"	0	-0.091263	-0.01211	0.127	0
"PP_3098"	0	-0.099716	0	0.11835	0
"fliP"	0.031165	-0.084174	0	0.08515	0
"PP_1160"	0	-0.054844	0	0.076817	0
"PP_3860"	0	-0.057538	0	0.075397	0
"PP_5354"	0	-0.058214	0	0.067172	0
"PP_4764"	-0.023034	-0.061198	0	0.083513	0
"PP_4567"	0	0.0087709	0	0.10668	0
"nikC"	0	0.0078379	0	0.097654	0
"PP_0502"	0	0	0	0.11278	0
"PP_2412"	0	0	0	0.11261	0
"bcsZ"	0	0	0	0.11248	0
"PP_1390"	0	0	0	0.11235	0
"PP_5059"	0	0	0	0.11219	0
"PP_3581"	0	0	0	0.11208	0
"PP_0385"	0	0	0	0.11161	0
"PP_0865"	0	0	0	0.11153	0
"PP_1356"	0	0	0	0.11129	0
"PP_1659"	0	0	0	0.11125	0
"PP_2187"	0	0	0	0.11118	0
"PP_1565"	0	0	0	0.11105	0
"PP_4568"	0	0	0	0.11096	0
"PP_4032"	0	0	0	0.11095	0
"PP_1819"	0	0	0	0.11031	0
"PP_3216"	0	0	0	0.11021	0
"PP_5509"	0	0	0	0.11012	0
"PP_2549"	0	0	0	0.11009	0
"PP_4588"	0	-0.00049279	0	0.11016	0
"PP_3208"	0	0	0	0.10983	0
"PP_5051"	0	0	0	0.10981	0
"phoQ"	0	0	0	0.10965	0
"PP_1578"	0	0	0	0.10955	0
"PP_0925"	0	0	0	0.10889	0
"pqqC"	0	0	0	0.1087	0
"PP_3213"	0	0	0	0.10863	0
"cpo"	0	0	0	0.10859	0
"curA"	0	0	0	0.10859	0
"PP_0699"	0	0	0	0.10858	0
"PP_2710"	0	0	0	0.10852	0
"PP_0235"	0	0	0	0.10834	0
"hutI"	0	0	0	0.10822	0
"ydcJ"	0	0	0	0.10799	0
"PP_5293"	0	0	0	0.10752	0
"PP_3206"	0	0	0	0.10746	0
"PP_1798"	0	0	0	0.10719	0
"opdP"	0	0	0	0.1067	0
"PP_0677"	0	0	0	0.10654	0
"PP_3316"	0	0	0	0.10644	0
"pvdI"	0	0	0	0.10644	0
"PP_4572"	0	0	0	0.10638	0
"PP_0941"	0	0	0	0.10576	0
"PP_2071"	0	0	0	0.10517	0
"PP_2652"	0	0	0	0.10498	0
"cmoB"	0	0	0	0.10484	0
"PP_0202"	0	0	0	0.10483	0
"PP_2531"	0	0	0	0.10463	0
"PP_5584"	0	0	0	0.10418	0
"cheA"	0	0	0	0.10416	0
"PP_0431"	0	0	0	0.10413	0
"fliC"	0	0	0	0.10403	0
"acoR"	0	0	0	0.10397	0
"PP_5330"	0	0	0	0.10371	0
"pilA"	0	0	0	0.10358	0
"PP_1580"	0	0	0	0.10348	0
"PP_1555"	0	0	0	0.10339	0
"PP_0648"	0	0	0	0.10322	0
"PP_2312"	0	0	0	0.10317	0
"PP_3873"	0	0	0	0.10304	0
"pilN"	0	0	0	0.10301	0
"PP_3547"	0	-0.0037575	-0.0036296	0.10582	0
"PP_1838"	0	0	0	0.10258	0
"yohC"	0	0	0	0.10244	0
"PP_1491"	0	0	0	0.10218	0
"PP_2941"	0	0	0	0.10186	0
"PP_5272"	0	0	0	0.10173	0
"PP_4608"	0	0	0	0.1016	0
"proP"	0	0	0	0.10142	0
"PP_3190"	0	0	0	0.10139	0
"PP_4855"	0	0	0	0.10126	0
"PP_0021"	0	0	0	0.10121	0
"gllP"	0	0	0	0.10065	0
"htrG"	0	0	0	0.10047	0
"dacB"	0	0	0	0.09988	0
"PP_0673"	0	0	0	0.099803	0
"hutF"	0	0	0	0.099734	0
"PP_0592"	0	0	0	0.099688	0
"PP_3170"	0	0	-0.0074572	0.10741	0
"PP_0525"	0	0	-0.0072366	0.10267	0
"fadA"	0	-0.0024417	0	0.10272	-0.010326
"yigZ"	0	0	0	0.10511	-0.014884
"PP_3556"	0	0	0	0.10232	-0.015814
"PP_1232"	-0.015232	0	0	0.099506	0
"PP_0128"	0	0	0	0.098615	0
"PP_4933"	0	0	0	0.09858	0
"PP_1647"	0	0	0	0.098092	0
"imuB"	0	0	0	0.098061	0
"PP_5284"	0	0	0	0.097919	0
"benC"	0	0	0	0.097874	0
"PP_3076"	0	0	0	0.097814	0
"PP_2307"	0	0	0	0.097727	0
"PP_2997"	0	0	0	0.096451	0
"PP_0486"	0	0	0	0.096331	0
"PP_5279"	0	0	0	0.096187	0
"vacJ"	0	0	0	0.095641	0
"PP_0174"	0	0	0	0.095351	0
"PP_4763"	0	0	0	0.095263	0
"PP_5735"	0	0	0	0.094811	0
"PP_4575"	0	0	0	0.094533	0
"PP_5381"	0	0	0	0.094079	0
"ccmA"	0	0	0	0.093633	0
"PP_3867"	0	0	0	0.093611	0
"PP_5368"	0	0	0	0.093512	0
"PP_0781"	0	0	0	0.093467	0
"PP_4629"	0	0	0	0.093309	0
"tldD"	0	0	0	0.093254	0
"PP_1961"	0	0	0	0.092952	0
"PP_2018"	0	0	0	0.09286	0
"phnW"	0	0	0	0.092538	0
"PP_3007"	0	0	0	0.092505	0
"PP_2733"	0	0	0	0.09247	0
"PP_3562"	0	-0.0001159	0	0.094528	-0.01028
"PP_3211"	0	-0.0076207	0	0.098746	0
"PP_2621"	0	-0.014685	0	0.099673	0
"PP_5159"	0	-0.01596	0	0.094792	0
"PP_1968"	0	-0.015698	0	0.094375	0
"PP_2752"	0	0	0	0.091358	0
"PP_4682"	0	0	0	0.091177	0
"azoR1"	0	0	0	0.091046	0
"cysW"	0	0	0	0.090863	0
"PP_2899"	0	0	0	0.090528	0
"PP_2482"	0	0	0	0.090336	0
"PP_1450"	0	0	0	0.090106	0
"PP_3751"	0	0	0	0.08981	0
"yccA"	0	0	0	0.089529	0
"PP_3825"	0	0	0	0.089375	0
"lpxOA"	0	0	0	0.088789	0
"PP_4222"	0	0	0	0.088275	0
"PP_2829"	0	0	0	0.086897	0
"PP_4923"	0	0	0	0.086686	0
"mdaB"	0	0	0	0.086361	0
"aspA"	0	0	0	0.0861	0
"PP_1235"	0	-0.0079289	0	0.087818	0
"PP_2830"	0	0	0	0.085502	0
"PP_1246"	0	0	0	0.08526	0
"PP_4548"	0	0	0	0.085211	0
"PP_3217"	0	0	0	0.084879	0
"PP_4525"	0	0	0	0.084585	0
"PP_4115"	0	0	0	0.084295	0
"PP_2709"	0	0	0	0.084207	0
"PP_3268"	0	0	0	0.083851	0
"PP_4315"	0	0	0	0.083402	0
"PP_2810"	0	0	0	0.08322	0
"PP_2539"	0	0	0	0.082061	0
"PP_2640"	0	0	0	0.081157	0
"PP_3249"	0	0	0	0.080554	0
"PP_4230"	0	0	0	0.080299	0
"PP_2232"	0	0	0	0.080244	0
"PP_1322"	0	0	0	0.080209	0
"kguK"	0	0	0	0.079877	0
"PP_1615"	0	0	0	0.079846	0
"PP_0646"	0	0	0	0.079795	0
"PP_4563"	0	0	0	0.079641	0
"PP_2607"	0	0	0	0.079577	0
"PP_4135"	0	0	0	0.079453	0
"PP_1753"	0	0	0	0.079177	0
"PP_5479"	0	0	0	0.078657	0
"PP_1722"	0	0	-0.0067162	0.079524	0
"PP_3201"	0	0	-0.012756	0.086246	0
"acoB"	0	0	-0.01884	0.1025	0
"puuP"	0	-0.0051967	-0.019627	0.097867	0
"ydfG"	0	0	-0.024333	0.09457	-0.0034448
"phnC"	0.015587	0	0	0.099487	-0.0037545
"PP_3491"	0.025604	0	0	0.089891	0
"PP_5174"	0.017492	0	0	0.084982	0
"PP_1013"	0.014843	0	0	0.085251	0
"PP_4615"	0.03466	0	0	0.071949	0
"ftsE"	0.015479	0	0	0.066287	0
"gcvH-II"	0	0	0	0.0683	0
"PP_5728"	0	0	0	0.068245	0
"glxR"	0	0	0	0.068173	0
"PP_3874"	0	0	0	0.067456	0
"tsaE"	0	0	0	0.067308	0
"PP_3775"	0	0	0	0.067122	0
"eutC"	0	0	0	0.066371	-0.0018416
"PP_2417"	0	0	0	0.064774	0
"PP_0307"	0	0	0	0.063953	0
"PP_2798"	0	0	0	0.063881	0
"PP_1707"	0	0	0	0.063755	0
"PP_2106"	0	0	0	0.063359	0
"rlmF"	0	0	0	0.063188	0
"opgG"	0	0	0	0.062695	0
"PP_3516"	0	0	0	0.062493	0
"PP_4500"	0	0	0	0.060813	0
"opdT-I"	0	0	0	0.060024	0
"cioB"	0	0	0	0.059053	0
"aphA"	0	0	0	0.05766	0
"PP_3454"	0	0	0	0.057546	0
"PP_4689"	0	0	0	0.057465	0
"PP_1862"	0	0	0	0.057453	0
"PP_0108"	0	-0.0066902	0	0.060027	0
"PP_4816"	0	0	0	0.077223	0
"PP_2420"	0	0	0	0.077007	0
"hisQ"	0	0	0	0.076635	0
"greB"	0	0	0	0.076156	0
"PP_3512"	0	0	0	0.076037	0
"yheT"	0	0	0	0.075973	0
"PP_4027"	0	0	0	0.07585	0
"peaB"	0	0	0	0.075484	0
"ytnA"	0	0	0	0.075209	0
"PP_3333"	0	0	0	0.074791	0
"PP_1715"	0	0	0	0.0747	0
"PP_3374"	0	0	0	0.07466	0
"metB"	0	0	0	0.074545	0
"PP_4260"	0	0	0	0.073921	0
"PP_2699"	0	0	0	0.073255	0
"PP_4754"	0	0	0	0.072747	0
"PP_3431"	0	0	0	0.072573	0
"phaK"	0	0	0	0.072055	0
"PP_3259"	0	0	0	0.071936	0
"xcpP"	0	0	0	0.071357	0
"PP_3041"	0	0	0	0.071165	0
"PP_0312"	0	0	0	0.071066	0
"PP_3429"	0	0	0	0.071045	0
"PP_1201"	0	0	0	0.070796	0
"PP_1394"	0	0	0	0.070246	0
"PP_4143"	0	0	0	0.070209	0
"PP_0717"	0	0	0	0.069719	0
"PP_3194"	0	0	0	0.069579	0
"upxB"	0	0	0	0.069106	0
"bioH"	0	0	0	0.070066	-0.0055406
"PP_5343"	0	-0.010782	0	0.071797	0
"PP_0414"	0	0	0	0.072695	-0.014342
"PP_2599"	0	0	-0.0073193	0.065294	0
"urtE"	0	-0.0045132	-0.0090737	0.064498	0
"msrP"	0	0	-0.014175	0.065117	0
"ldcC"	0	0	-0.016021	0.066675	0
"yaiW"	0	-0.013238	-0.014706	0.07212	0
"PP_1699"	0	-0.024497	0	0.084723	0
"PP_5304"	0	-0.026699	0	0.082561	0
"msrQ"	0	-0.02272	0	0.068519	0
"PP_1134"	0	-0.03188	0	0.071694	0
"pepA"	0	-0.035844	0	0.075469	0
"PP_2220"	0	0	0	0.13118	-0.016036
"folC"	0	0	0	0.13566	-0.026934
"PP_1760"	0	0	0	0.12887	-0.024898
"PP_0507"	0	0	-0.01107	0.11545	-0.022393
"yiaY"	0	0	0	0.10919	-0.021483
"yjbB"	0	0	0	0.11078	-0.02387
"PP_1372"	0	0	0	0.10143	-0.029464
"malQ"	0	0	0	0.11972	-0.03253
"PP_3059"	0	0	0	0.11382	-0.037429
"PP_2245"	0	0	0	0.11539	-0.042229
"cbtA"	0	0	0	0.11405	-0.045872
"PP_0643"	0	0	0	0.11523	-0.048287
"fdhA"	0	-0.023613	0	0.11019	-0.03747
"PP_2066"	0	0	0	0.11494	-0.058739
"topB"	0	0	0	0.10623	-0.063112
"cobJ"	0	0	0	0.097854	-0.04483
"cyaB"	0	0	-0.016783	0.10237	-0.04412
"PP_3734"	0	0	-0.032037	0.12103	-0.054075
"PP_0534"	0	0	-0.034337	0.10549	-0.043963
"mnmC"	0	0	-0.031459	0.085374	-0.0081851
