"lfc.LB"	"lfc.high_pCA"	"lfc.low_pCA"	"lfc.glucose"	"lfc.acetate"
"PP_2203"	0	0	0	0.20044	0.15053
"PP_4582"	0	0	0	0.18963	0.16532
"PP_1884"	0	0	0	0.18956	0.16364
"PP_0876"	0	0	0	0.18673	0.15664
"PP_3010"	0	0	0	0.17059	0.15353
"treSA"	0	0	0	0.17258	0.1509
"PP_1670"	0	0	0	0.17306	0.13851
"PP_2110"	0	0	0	0.20373	0.12747
"PP_0063"	0	-0.0010335	0	0.19766	0.12099
"PP_5687"	0	0	0	0.17127	0.25182
"prmA"	0	-0.017561	0	0.17007	0.24441
"PP_3047"	0	0	0	0.14153	0.24168
"PP_3504"	0	0	0	0.12358	0.23891
"PP_0201"	-0.072245	0	0	0.14788	0.20731
"PP_0159"	0	0	0	0.141	0.20972
"PP_1291"	0	0	0	0.13124	0.21458
"PP_0828"	0	0	0	0.11719	0.20501
"PP_2757"	0	0	0	0.13578	0.19241
"PP_4348"	0	0	0	0.13574	0.18757
"yfdC"	-0.019293	0	0	0.12726	0.19104
"rfbC"	0	0	0	0.15502	0.17878
"PP_3933"	0	0	0	0.15332	0.17834
"PP_3020"	0	0	0	0.14771	0.17437
"PP_5626"	0	0	0	0.14186	0.17775
"PP_2055"	0	0	0	0.13996	0.17805
"pcaC"	0	0	0	0.15076	0.15955
"htpX"	0	0	0	0.14902	0.1568
"PP_2603"	0	0	0	0.13858	0.16469
"PP_0995"	0	0	0	0.13615	0.15547
"gudP"	0	0	0	0.12921	0.17519
"PP_0357"	0	0	0	0.11948	0.17611
"yhiN"	0	-0.00056507	0	0.12544	0.16692
"benE-I"	0	0	0	0.12032	0.16661
"PP_0014"	0	0	0	0.1074	0.16991
"PP_1415"	0	0	0	0.11421	0.16487
"PP_3108"	0	0	0	0.10854	0.16057
"PP_3062"	0	0	0	0.12287	0.15186
"ycgM"	0	0	0	0.11324	0.15135
"PP_0747"	0	0	0	0.14628	0.13913
"yedI"	0	0	0	0.14288	0.14043
"PP_3545"	0	0	0	0.1401	0.13987
"tauC"	0	0	0	0.15096	0.13395
"PP_1660"	0	0	0	0.14676	0.13294
"PP_2367"	0	0	0	0.15731	0.12626
"PP_5261"	0	0	0	0.14151	0.11132
"PP_3413"	0	0	0	0.12282	0.13282
"kup"	0	0	0	0.11845	0.1369
"pssA"	0	0	0	0.1159	0.1359
"PP_4015"	0	0	0	0.12016	0.125
"PP_3859"	0	0	0	0.10702	0.13515
"opdT-II"	0	0	0	0.13337	0.098555
"PP_2533"	0	0	0	0.11862	0.10046
"ptxC"	-0.027139	0	0	0.17028	0.12773
"ppiC-II"	-0.045682	0	0	0.14391	0.13472
"PP_4570"	0	0	0	0.17211	0.078517
"PP_3759"	0	0	0	0.17193	0.067678
"PP_0775"	0	0	0	0.1442	0.058886
"fruK"	0.061208	-0.049619	0	0.1324	0.10101
"adhB"	0	-0.086297	0	0.10458	0.11498
"fliE"	0	-0.1504	0.23784	0.28395	0.19257
"fliQ"	0.11601	-0.034036	0.13418	0.18572	0.21343
"PP_5591"	-0.017305	0	0.21594	0.19216	0.21288
"PP_5081"	0	0	0.2297	0.17281	0.1627
"grxC"	0	0	0.20546	0.12624	0.19372
